   1)  30^ | Chick Corea - Improvisation
   2)  26^ | Truckfighters - Desert Cruiser [stoner rock / desert rock]
   3)  25^ | Igorrr - Very Noise
   4)  25^ | SOPHIE (RIP) - Faceshopping [Electronic]
   5)  24^ | Daughters - The Reason They Hate Me
   6)  22^ | Clown Core - Truth and Life
   7)  22^ | Strawberry Girls - Agua Verde [instrumental prog post-hardcore / math rock]
   8)  21^ | Death Grips - Get Got
   9)  20^ | Bell Witch - Mirror Reaper
  10)  22^ | Kendrick Lamar - For Free?
  11)  20^ | Bent Knee - In God We Trust
  12)  21^ | Church of the Cosmic Skull - Evil In Your Eye
  13)  31^ | Daft Punk - Giorgio by Moroder [electronic / jazz / funk]
  14)  19^ | Deafheaven - The Pecan Tree [black metal / post-rock]
  15)  20^ | Victor Wooten - U Can't Hold No Groove (If You Ain't Got No Pocket)
  16)  19^ | John Frusciante - Murderers [electronic / post-rock]
  17)  18^ | Mahavishnu Orchestra - Meeting of the spirits [Jazzrock?]
  18)  19^ | Tigran Hamasyan - "Drip" [Armenian/Folk/Jazz/Classical/Metal]
  19)  19^ | Hella - Biblical Violence
  20)  17^ | Shostakovich - Piano Concerto No. 2 in F major, Op. 102, III. Allegro
  21)  17^ | The Bad Plus - And Here We Test Our Powers Of Observation
  22)  17^ | Fleet Foxes - The Shrine / An Argument
  23)  16^ | Buckethead - The Fairy and the Devil
  24)  17^ | The Main Squeeze - I'll Take Another [funk rock]
  25)  17^ | Max Kelly - Hybrid Drumming 2.0
  26)  23^ | Earth - The Bees Made Honey in the Lion's Skull [dark jazz / stoner / gaian doom]
  27)  14^ | Panzerballett - Pink Panther
  28)  16^ | The Physics House Band - Teratology
  29)  15^ | Comus - Diana
  30)  14^ | Wardruna - Solringen [Nordic Folk]
  31)  14^ | The Les Claypool Frog Brigade - Whamola [funk metal]
  32)  15^ | Deep Purple - "Rapture of the Deep"
 ---)  --^ | [[BANNED]] Arch Echo - Hip Dipper [jazz-djent fusion]
  33)  15^ | Anna von Hausswolff - The Mysterious Vanishing of Electra
  34)  13^ | Modern Fuzz - Orion I [jazz-djent]
  35)  14^ | tricot - おちゃんせんすぅす
  36)  13^ | The Comet Is Coming - Summon The Fire
  37)  14^ | Psychedelic Porn Crumpets - Mr. Prism
  38)  14^ | Hiromi - Alive
  39)  13^ | RX Bandits - Crushing Destroyer
  40)  12^ | Major Parkinson - Jonah
  41)  12^ | Autechre - F7 [experimental techno]
  42)  12^ | Radiohead - These Are My Twisted Words
  43)  12^ | The Beatles - Revolution 9 [sound collage / musique concrète]
  44)  12^ | Monster Magnet - Tab
  45)  12^ | The Dead South - In Hell I'll Be In Good Company
  46)  11^ | T.R.A.M. - Consider Yourself Judged
  47)  11^ | Infected Mushroom - Project 100 [psytrance]
  48)  13^ | Omar Rodríguez-López - In Case of Emergency, Die Slowly
  49)  13^ | Mildlife - The Magnificent Moon
  50)  12^ | Tigran Hamasyan — Entertain Me [math piano]
  51)  12^ | OSI - Go (Console Remix)
  52)  10^ | Envy - Swaying Leaves and Scattering Breath
  53)  11^ | Failure - Smoking Umbrellas
  54)  10^ | The Jimi Hendrix Experience - If 6 Was 9
  55)  11^ | Kamasi Washington - Re Run Home
  56)  11^ | Amia Venera Landscape - Marasm
  57)  10^ | The Kings Of Frog Island - Welcome To The Void
  58)   9^ | Tera Melos - Trash Generator
  59)  10^ | Colour Haze - Aquamaria (Live)
  60)  10^ | Oranssi Pazuzu - Uusi Teknokratia (psychedelic black metal)
  61)   9^ | Joy Division - Disorder
  62)  10^ | Lettuce - Madison Square
  63)  11^ | Jon Gomm Feat. Daniel Tompkins - Ain't Nobody (Chaka Khan)
  64)  10^ | Om - State of Non-Return
  65)  10^ | Sidewalk Chalk - Deciduous
  66)   8^ | Kamaal Williams - Catch The Loop [jazz-funk]
  67)   8^ | James Holden & The Animal Spirits - Each Moment Like The First
  68)   9^ | Yellow Magic Orchestra - コズミック・サーフィン (Cosmic Surfin')
  69)   9^ | Refused - Tannhäuser / Derive
  70)   9^ | TATRAN - Strawberry Fields Forever [post-rock / space-rock / reinterpretation]
  71)  10^ | mewithoutYou - Messes Of Men
  72)   9^ | Grails - Almost Grew My Hair
  73)   8^ | Wolf Parade - Kissing the Beehive
  74)   9^ | clipping. - Nothing is Safe
  75)  10^ | Igorrr - ieuD
  76)  10^ | DJ shadow - midnight in a perfect world
  77)   8^ | And So I Watch You From Afar - Run Home [math rock / post-rock]
  78)   8^ | GNOD - Stick In The Wheel
  79)   8^ | The Jimi Hendrix Experience - Red House
  80)   7^ | Regina Spektor - All the Rowboats
  81)   8^ | DJ Shadow - You can't go home again
  82)   8^ | Moon Hooch - Number 4
  83)   8^ | Brad Mehldau - The Prophet Is a Fool [Jazz/Fusion]
  84)   8^ | Streetlight Manifesto - They Provide the Paint for the Picture-Perfect Masterpiece That You Will Paint on the Insides of Your Eyelids [ska punk]
  85)   9^ | Jack White - Respect Commander
  86)   8^ | Dead Pirates - UGO
  87)   9^ | Deftones - Hearts / Wires
